room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
12548041,15722524,Entire home/apt,CENTRE,SUNALTA,18,5,2,0,56
14387680,66589980,Entire home/apt,CENTRE,GARRISON WOODS,10,5,4,1,55
6866235,35979215,Private room,CENTRE,BELTLINE,21,5,1,1,48
16176269,105610606,Private room,NORTHWEST,TUSCANY,14,5,2,1,40
16428478,50094536,Private room,WEST,LAKEVIEW,9,4.5,2,1,23
6923591,15349060,Entire home/apt,CENTRE,BELTLINE,18,5,4,2,155
11062783,57417965,Entire home/apt,NORTHWEST,SCENIC ACRES,29,5,6,3,162
1325729,7195272,Private room,WEST,WEST SPRINGS,24,5,3,1,142
16632588,109867173,Private room,CENTRE,KILLARNEY/GLENGARRY,19,5,2,1,33
6914658,34573226,Private room,CENTRE,RENFREW,9,4.5,1,1,25
14885327,4345521,Private room,CENTRE,RAMSAY,25,5,4,1,95
1738043,9837461,Entire home/apt,CENTRE,BELTLINE,152,4.5,2,0,47
2678340,4509302,Entire home/apt,CENTRE,CLIFF BUNGALOW,13,4.5,2,1,53
4564224,10254437,Entire home/apt,CENTRE,BELTLINE,278,5,2,1,80
4304597,8142859,Entire home/apt,CENTRE,INGLEWOOD,89,5,2,0,65
165032,755655,Entire home/apt,CENTRE,SUNALTA,301,5,6,2,61
17559536,24982984,Entire home/apt,CENTRE,CHINATOWN,7,4.5,3,1,47
1268655,6905597,Private room,CENTRE,RAMSAY,7,5,2,1,69
13362784,56421547,Entire home/apt,NORTHWEST,CITADEL,3,4,3,1,65
17583868,85784682,Entire home/apt,NORTH,PANORAMA HILLS,3,4.5,4,4,178
15236458,71036617,Private room,CENTRE,HILLHURST,23,5,2,1,40
1609624,7463897,Private room,SOUTH,SUNDANCE,9,5,1,1,40
2895780,9931937,Entire home/apt,CENTRE,BELTLINE,45,5,2,1,59
5453459,28058969,Private room,NORTHWEST,TUSCANY,15,5,2,1,26
19662189,138433309,Entire home/apt,CENTRE,INGLEWOOD,8,4.5,3,1,44
19327884,99568430,Private room,NORTH,HIDDEN VALLEY,9,5,2,1,22
10864755,27503550,Entire home/apt,WEST,RUTLAND PARK,14,5,4,2,121
7903120,41673651,Private room,SOUTH,BRIDLEWOOD,59,4.5,4,1,36
17304694,116769279,Entire home/apt,CENTRE,TUXEDO PARK,16,5,6,3,138
4437809,23034117,Private room,NORTHWEST,CHARLESWOOD,37,4.5,2,1,33
18756732,44440976,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,10,5,4,2,80
9972763,51245764,Entire home/apt,SOUTHEAST,AUBURN BAY,37,4.5,4,2,62
16482415,6102211,Entire home/apt,CENTRE,BELTLINE,30,5,2,2,66
4936678,923623,Entire home/apt,CENTRE,BELTLINE,8,5,4,1,97
18910635,70424166,Entire home/apt,CENTRE,BELTLINE,4,5,4,2,210
916727,4901293,Entire home/apt,SOUTHEAST,DOUGLASDALE/GLEN,17,5,6,4,146
14740936,22626725,Entire home/apt,EAST,DOVER,18,5,2,1,52
6239587,32386009,Entire home/apt,NORTHEAST,TARADALE,95,4.5,5,3,85
15644158,68073273,Entire home/apt,CENTRE,WEST HILLHURST,31,5,14,5,136
18609546,129253412,Entire home/apt,CENTRE,RENFREW,3,4.5,4,2,174
19011577,100203204,Entire home/apt,NORTHWEST,CITADEL,3,4.5,8,4,142
13064303,31480482,Entire home/apt,WEST,PATTERSON,11,4.5,4,2,118
14902452,92472403,Entire home/apt,CENTRE,BELTLINE,3,4.5,4,1,74
18250461,47519209,Entire home/apt,NORTHWEST,HAMPTONS,5,4.5,6,3,122
16165563,78516578,Entire home/apt,WEST,SPRINGBANK HILL,34,5,8,2,121
12885616,6529950,Entire home/apt,EAST,SOUTHVIEW,20,5,4,1,53
6403979,33398614,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,5,5,2,1,52
5347728,27715982,Entire home/apt,NORTHWEST,EDGEMONT,3,4.5,10,4,122
16342433,12668950,Entire home/apt,CENTRE,BANKVIEW,28,5,3,0,57
6209372,30987880,Private room,NORTH,HIDDEN VALLEY,20,4.5,2,1,53
19675992,40751171,Private room,NORTHWEST,SILVER SPRINGS,10,5,2,1,27
564500,2775727,Entire home/apt,CENTRE,LOWER MOUNT ROYAL,94,5,3,2,163
16751883,106447606,Entire home/apt,WEST,GLENBROOK,17,4.5,7,3,80
17016686,49755991,Entire home/apt,CENTRE,SUNNYSIDE,7,5,2,1,44
13299907,27715982,Entire home/apt,CENTRE,CRESCENT HEIGHTS,11,4.5,4,1,48
19228952,76476715,Shared room,EAST,DOVER,6,4.5,1,1,12
6834495,35807078,Entire home/apt,CENTRE,RICHMOND,14,4.5,6,3,202
19701990,67666401,Entire home/apt,NORTH,SHERWOOD,4,5,6,2,61
15940669,75838336,Private room,CENTRE,BANFF TRAIL,6,4.5,2,1,29
19752481,122059646,Private room,NORTHWEST,DALHOUSIE,3,5,2,1,36
7130494,37344881,Private room,CENTRE,TUXEDO PARK,32,5,4,1,57
4862135,1583090,Entire home/apt,WEST,STRATHCONA PARK,3,5,4,3,57
908524,4869295,Private room,SOUTH,KINGSLAND,31,4.5,2,1,25
16567250,109131200,Entire home/apt,NORTH,COVENTRY HILLS,28,5,3,1,36
19344266,53121940,Private room,CENTRE,BRIDGELAND/RIVERSIDE,6,5,2,1,44
10636356,9534122,Entire home/apt,SOUTH,SUNDANCE,11,5,10,4,162
14030636,84009448,Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,39,5,4,2,61
4235259,12365039,Entire home/apt,CENTRE,BELTLINE,6,3.5,4,2,145
7581561,39754086,Entire home/apt,SOUTH,SILVERADO,6,4.5,8,2,58
18947455,132096229,Private room,NORTHWEST,EDGEMONT,4,5,1,1,25
17669973,33598786,Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,4,5,9,5,345
15371958,98197495,Entire home/apt,NORTHWEST,BOWNESS,10,5,8,3,160
16393804,12365039,Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,105
7696570,12365039,Entire home/apt,CENTRE,BELTLINE,3,3,4,2,113
16275930,80368247,Private room,NORTHWEST,TUSCANY,4,5,6,2,37
3301647,16673542,Private room,CENTRE,PARKDALE,62,5,2,1,60
14406891,19177507,Entire home/apt,NORTHEAST,RUNDLE,19,5,2,1,65
17771062,111816977,Entire home/apt,CENTRE,BELTLINE,11,5,4,2,72
19734290,94862807,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,5,2,1,81
16289834,93054398,Entire home/apt,CENTRE,BELTLINE,74,5,2,1,90
19192889,16422759,Entire home/apt,CENTRE,BELTLINE,11,4.5,4,2,80
15176309,44201339,Private room,NORTHWEST,SCENIC ACRES,5,4.5,2,1,36
9605984,7271195,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,26,5,4,1,74
15869906,102877310,Private room,NORTHWEST,DALHOUSIE,14,5,1,1,29
1344439,387509,Entire home/apt,CENTRE,RENFREW,27,4.5,2,1,53
7228204,17157219,Entire home/apt,NORTH,HUNTINGTON HILLS,11,5,10,5,182
18602953,86624543,Entire home/apt,CENTRE,DOWNTOWN WEST END,3,4.5,5,1,63
17108538,112875564,Entire home/apt,CENTRE,BANKVIEW,14,5,4,1,57
18112587,70252291,Private room,SOUTH,DEER RUN,28,5,4,2,61
13812366,99088,Entire home/apt,CENTRE,TUXEDO PARK,3,5,4,2,121
3638550,3297275,Private room,NORTHEAST,MARLBOROUGH,18,5,2,1,29
15874511,102922818,Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,7,5,8,4,182
4355437,22506106,Entire home/apt,CENTRE,CRESCENT HEIGHTS,159,4.5,4,2,57
15954159,102922818,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,46,5,2,1,29
17666765,62197399,Entire home/apt,CENTRE,MISSION,4,4.5,4,2,61
5568225,28867964,Entire home/apt,CENTRE,ERLTON,7,5,2,1,122
13651225,70341055,Private room,NORTHWEST,ROCKY RIDGE,8,5,2,1,44
16693178,110551379,Entire home/apt,NORTHEAST,FALCONRIDGE,65,5,8,2,40
2216877,3730464,Private room,CENTRE,PARKDALE,27,4.5,2,1,25
2079672,10625737,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,31,4.5,6,2,90
14911989,93665112,Entire home/apt,SOUTH,CHAPARRAL,13,5,8,4,122
13363264,75838336,Private room,CENTRE,BANFF TRAIL,4,4.5,2,1,47
18581786,41090436,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,12,5,3,2,80
10310109,53049133,Entire home/apt,CENTRE,CHINATOWN,102,4.5,3,0,73
8258815,43548063,Private room,NORTHWEST,UNIVERSITY HEIGHTS,44,5,1,1,37
17555601,59339527,Private room,NORTHWEST,VARSITY,10,5,5,2,32
15099178,30914325,Entire home/apt,CENTRE,RAMSAY,18,5,4,1,74
9661645,12668950,Private room,CENTRE,CRESCENT HEIGHTS,77,5,2,1,29
11165451,58081693,Entire home/apt,SOUTH,BRIDLEWOOD,36,5,8,4,215
15844015,102628729,Entire home/apt,CENTRE,SUNALTA,3,4.5,2,1,48
3747881,4621979,Private room,NORTH,PANORAMA HILLS,8,4.5,2,1,57
19414361,129305279,Entire home/apt,SOUTH,SOMERSET,7,4.5,3,1,49
10711535,55357308,Private room,CENTRE,BELTLINE,148,5,2,1,36
801900,4221145,Private room,SOUTH,ACADIA,8,4,2,1,31
17255719,112005306,Private room,NORTH,HUNTINGTON HILLS,17,5,2,1,19
13139301,73224310,Entire home/apt,NORTH,NORTH HAVEN,5,4.5,2,0,44
19104526,133474970,Entire home/apt,NORTH,COUNTRY HILLS VILLAGE,14,4,6,3,69
18548409,78272080,Entire home/apt,CENTRE,BELTLINE,3,5,2,1,122
13724571,26442161,Private room,EAST,DOVER,19,5,2,1,41
13116372,72956130,Entire home/apt,SOUTH,HAYSBORO,4,4.5,2,1,203
19555253,3039386,Private room,SOUTH,WOODBINE,4,5,4,1,48
8081514,20406950,Private room,CENTRE,ERLTON,12,5,2,1,38
6322876,28409446,Entire home/apt,CENTRE,UPPER MOUNT ROYAL,10,5,2,1,57
19556714,59529070,Private room,NORTH,HARVEST HILLS,5,5,1,1,25
7917085,41746379,Entire home/apt,WEST,GLAMORGAN,30,5,2,0,57
12274260,32978300,Private room,NORTHWEST,SCENIC ACRES,29,5,2,1,32
12521548,67823046,Entire home/apt,CENTRE,BANFF TRAIL,9,5,6,3,81
17734295,68073273,Entire home/apt,WEST,SPRINGBANK HILL,20,5,16,4,142
18565159,111119889,Entire home/apt,NORTHWEST,ARBOUR LAKE,3,4.5,10,5,163
15301991,72626603,Entire home/apt,NORTHWEST,BOWNESS,9,5,3,1,38
4065410,1386403,Entire home/apt,EAST,SOUTHVIEW,19,5,2,1,69
19297701,135146439,Entire home/apt,NORTHWEST,BOWNESS,5,5,2,1,47
15492271,35388249,Entire home/apt,NORTHWEST,SCENIC ACRES,22,5,6,4,90
8649126,37139314,Private room,NORTHWEST,MONTGOMERY,11,5,2,1,44
17517041,118763051,Entire home/apt,CENTRE,BELTLINE,22,4.5,2,1,79
13517298,11848653,Entire home/apt,CENTRE,MISSION,12,5,2,1,56
19623982,82458195,Private room,NORTHWEST,DALHOUSIE,9,5,6,3,31
18770649,15622465,Entire home/apt,CENTRE,TUXEDO PARK,8,5,5,2,65
17665290,100444366,Entire home/apt,CENTRE,CHINATOWN,4,5,2,1,105
3394846,2473227,Entire home/apt,CENTRE,SUNNYSIDE,10,5,5,2,150
13911997,82522310,Entire home/apt,CENTRE,MEADOWLARK PARK,24,4.5,4,1,56
19848797,4372171,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,5,5,6,2,103
9051176,22867624,Private room,NORTHWEST,MONTGOMERY,5,4,1,1,29
12968453,71325028,Entire home/apt,NORTH,PANORAMA HILLS,21,4.5,10,4,162
16070007,68922904,Entire home/apt,WEST,CRESTMONT,19,5,6,1,69
12734714,35399870,Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,6,4.5,6,3,163
16269725,99371794,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,6,4.5,4,2,57
10771795,6781491,Private room,WEST,ROSSCARROCK,48,5,3,1,47
19558416,40653314,Private room,WEST,SIGNAL HILL,3,5,5,1,81
722384,3730464,Private room,CENTRE,PARKDALE,30,5,2,1,33
16722246,49898329,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,50,5,2,1,56
19491942,58379553,Private room,SOUTHEAST,MCKENZIE TOWNE,3,5,2,1,34
14360933,88058746,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,22,5,2,1,36
15956926,103613205,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,34,5,3,1,33
16868941,107150091,Entire home/apt,CENTRE,BELTLINE,7,4.5,5,2,101
7282038,38132753,Entire home/apt,WEST,DISCOVERY RIDGE,4,5,3,1,89
7603126,32238581,Entire home/apt,CENTRE,ALTADORE,33,5,1,0,63
12537673,6919158,Entire home/apt,CENTRE,HILLHURST,20,5,3,1,48
19439094,48895550,Entire home/apt,CENTRE,WEST HILLHURST,6,5,4,1,62
19335886,88607503,Entire home/apt,CENTRE,SUNALTA,13,5,6,2,87
19342582,50684311,Entire home/apt,CENTRE,BANFF TRAIL,4,4,6,2,63
14587638,90445117,Entire home/apt,CENTRE,WEST HILLHURST,28,5,16,7,485
18683791,129874725,Private room,WEST,LAKEVIEW,4,5,2,1,25
14486413,89375598,Entire home/apt,CENTRE,BELTLINE,68,5,4,2,81
19554641,133041757,Entire home/apt,CENTRE,BANFF TRAIL,3,4.5,4,2,81
2629157,1983508,Entire home/apt,SOUTH,DEER RUN,3,4,4,3,105
13041419,30246919,Entire home/apt,CENTRE,MOUNT PLEASANT,28,5,10,4,203
5775036,28058969,Private room,NORTHWEST,TUSCANY,22,5,2,1,24
9108330,31372319,Private room,CENTRE,POINT MCKAY,4,5,2,1,81
7142772,37372751,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,4,5,3,1,48
13526008,51668475,Private room,NORTH,SAGE HILL,9,5,2,1,25
4165484,21301776,Private room,CENTRE,BANFF TRAIL,10,4.5,1,1,36
14401147,88366836,Private room,WEST,SIGNAL HILL,8,5,2,1,44
17694808,53175089,Private room,WEST,SPRINGBANK HILL,4,5,4,2,65
5604316,28058969,Private room,NORTHWEST,TUSCANY,38,5,2,1,25
7750102,12879268,Private room,CENTRE,BELTLINE,9,5,2,1,40
12612759,18985465,Entire home/apt,CENTRE,LOWER MOUNT ROYAL,8,5,2,0,47
19713960,138930456,Entire home/apt,CENTRE,SUNALTA,13,4.5,4,1,61
10374322,39762604,Entire home/apt,CENTRE,RENFREW,82,5,2,1,56
14263954,19870793,Private room,CENTRE,BELTLINE,37,5,2,1,24
17586457,119470722,Entire home/apt,SOUTHEAST,NEW BRIGHTON,6,5,7,3,100
5308676,27497225,Private room,CENTRE,CRESCENT HEIGHTS,142,5,2,1,40
4411826,22867624,Private room,NORTH,HUNTINGTON HILLS,7,5,2,1,31
14874342,93228929,Private room,CENTRE,BELTLINE,14,5,2,1,69
13394312,12365039,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,3,4.5,2,1,113
14613766,75760804,Private room,CENTRE,RICHMOND,33,5,2,1,53
9684226,50023437,Private room,WEST,RUTLAND PARK,8,5,1,1,33
6259624,32521585,Entire home/apt,CENTRE,BELTLINE,5,4,2,1,100
8889307,46510579,Private room,NORTHEAST,TARADALE,41,4.5,2,1,25
10154110,20705069,Private room,CENTRE,PARKDALE,11,5,2,1,40
13280330,51626879,Private room,EAST,DOVER,12,5,2,1,29
13779969,24164905,Entire home/apt,NORTHWEST,VARSITY,21,5,4,1,81
14747705,69389206,Entire home/apt,CENTRE,WEST HILLHURST,22,5,4,2,56
13749425,61378691,Entire home/apt,CENTRE,MISSION,7,4.5,2,2,77
9366083,45932985,Entire home/apt,CENTRE,HILLHURST,5,5,4,3,102
18761851,104624648,Entire home/apt,WEST,GLENBROOK,4,5,6,3,77
18097501,27118482,Private room,NORTHWEST,BRENTWOOD,6,5,1,1,33
18931182,33380668,Private room,CENTRE,BANKVIEW,7,5,2,1,40
14217268,58762717,Entire home/apt,CENTRE,BELTLINE,3,4,3,1,40
14185469,49792359,Entire home/apt,CENTRE,HIGHLAND PARK,7,5,4,0,105
16010930,32690139,Entire home/apt,NORTH,THORNCLIFFE,28,4.5,8,4,101
10816245,56004093,Private room,SOUTH,WALDEN,6,5,2,1,65
7402120,33453416,Entire home/apt,CENTRE,PARKHILL,29,5,6,3,90
3373160,3521605,Private room,SOUTH,ACADIA,10,5,2,1,21
306482,1576340,Private room,CENTRE,CRESCENT HEIGHTS,8,5,2,1,77
11497270,60545871,Entire home/apt,WEST,LINCOLN PARK,31,5,2,1,72
